
--- NEW ENGINE RUN: 2026-01-14 15:29:32 (Target: 서울 강남구, Count: 5) ---
2026-01-15 12:33:16,159 - INFO - ✅ Firebase Saved: 온에스테틱 선릉점
2026-01-15 12:33:16,159 - INFO - Progress: 6/10
2026-01-15 12:33:21,652 - INFO - 🔍 Visiting detail page: 이미지수12
2026-01-15 12:33:26,199 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:33:26,362 - INFO - Successfully saved shop to Firebase: 미르테 바이 혜정
2026-01-15 12:33:26,362 - INFO - ✅ Firebase Saved: 미르테 바이 혜정
2026-01-15 12:33:26,362 - INFO - Progress: 7/10
2026-01-15 12:33:32,270 - INFO - 🔍 Visiting detail page: 이미지수10
2026-01-15 12:33:38,543 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:33:38,635 - INFO - Successfully saved shop to Firebase: 더록시 논현점
2026-01-15 12:33:38,636 - INFO - ✅ Firebase Saved: 더록시 논현점
2026-01-15 12:33:38,636 - INFO - Progress: 8/10
2026-01-15 12:33:44,306 - INFO - 🔍 Visiting detail page: 이미지수68
2026-01-15 12:33:56,638 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:33:56,746 - INFO - Successfully saved shop to Firebase: 온에스테틱 압구정점
2026-01-15 12:33:56,748 - INFO - ✅ Firebase Saved: 온에스테틱 압구정점
2026-01-15 12:33:56,748 - INFO - Progress: 9/10
2026-01-15 12:34:01,044 - INFO - 🔍 Visiting detail page: 이미지수16
2026-01-15 12:34:07,339 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:34:07,469 - INFO - Successfully saved shop to Firebase: 김서희건강연구소
2026-01-15 12:34:07,469 - INFO - ✅ Firebase Saved: 김서희건강연구소
2026-01-15 12:34:07,469 - INFO - Progress: 10/10
2026-01-15 12:34:23,037 - INFO - ✅ Finished. Total saved: 10

--- NEW ENGINE RUN: 2026-01-15 12:37:54 (Target: 서울 강남, Count: 10) ---
2026-01-15 12:38:00,775 - INFO - 🔍 Searching: 서울 강남 피부관리샵
2026-01-15 12:38:05,174 - INFO - 🗺️ Map view detected. Switching to list view...
2026-01-15 12:38:13,517 - INFO - Found 100 list items. Extracting basic info...
2026-01-15 12:38:14,540 - INFO - 🔍 Visiting detail page: 정앤정피부관리실피부,체형관리
2026-01-15 12:38:20,176 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:38:21,705 - INFO - Successfully saved shop to Firebase: 정앤정피부관리실
